,B-CONT,B-EDU,B-LOC,B-NAME,B-ORG,B-PRO,B-RACE,B-TITLE,E-CONT,E-EDU,E-LOC,E-NAME,E-ORG,E-PRO,E-RACE,E-TITLE,M-CONT,M-EDU,M-LOC,M-NAME,M-ORG,M-PRO,M-RACE,M-TITLE,O,S-NAME,S-ORG,S-RACE,macro,micro
acc,0.9999337748344371,0.9989403973509934,0.9994701986754967,0.9989403973509934,0.9898013245033113,0.9981456953642384,0.9999337748344371,0.9883443708609272,0.9999337748344371,0.999205298013245,0.9996026490066225,0.9978807947019868,0.9884768211920529,0.9986754966887417,0.9999337748344371,0.9956291390728477,0.9999337748344371,0.9987417218543047,0.9987417218543047,0.9989403973509934,0.9511258278145696,0.9948344370860928,1.0,0.9722516556291391,0.9574834437086093,0.9996026490066225,1.0,0.9998675496688741,,
f1_score,0.9824561403508771,0.9310344827586207,0.3333333333333333,0.9245283018867924,0.8644366197183099,0.6315789473684211,0.962962962962963,0.8867438867438868,0.9824561403508771,0.9482758620689654,0.5,0.8490566037735849,0.8465608465608465,0.736842105263158,0.962962962962963,0.9575289575289575,0.9906542056074767,0.9476584022038568,0.4242424242424242,0.8974358974358975,0.9161935044287985,0.5301204819277109,0.0,0.8892413428495902,0.9368607395751378,0.0,0.0,0.0,0.711597108931031,0.9121854304635761
prec,0.9655172413793104,0.9,0.3333333333333333,0.98,0.8421955403087479,0.5581395348837209,1.0,0.881074168797954,0.9655172413793104,0.9166666666666666,0.5,0.9,0.8261617900172117,0.6511627906976745,1.0,0.9514066496163683,0.9814814814814815,0.9347826086956522,0.5833333333333334,0.9459459459459459,0.9002454809194377,0.4489795918367347,0.0,0.9038151531434713,0.9568099638409,0.0,0.0,0.0,0.7080917327241877,0.9121854304635761
recall,1.0,0.9642857142857143,0.3333333333333333,0.875,0.8878842676311031,0.7272727272727273,0.9285714285714286,0.8924870466321243,1.0,0.9821428571428571,0.5,0.8035714285714286,0.8679927667269439,0.8484848484848485,0.9285714285714286,0.9637305699481865,1.0,0.9608938547486033,0.3333333333333333,0.8536585365853658,0.9327167630057803,0.6470588235294118,0.0,0.8751300728407908,0.9177263969171484,0.0,0.0,0.0,0.7151373642190199,0.9121854304635761
