,O,B-LOC,I-LOC,B-ORG,I-ORG,B-PER,I-PER,<unk>,<pad>,<start>,<end>,macro,micro
acc,0.9812341759317733,0.9964484562661862,0.9932271539562343,0.997097351695529,0.9908285583513421,0.9964484562661862,0.9942410530645824,1.0,1.0,1.0,1.0,,
prec,0.986126128473353,0.9428794992175273,0.9426297007960472,0.7918424753867792,0.8439656623464064,0.8850509626274066,0.8812383239925273,0.0,0.0,0.0,0.0,0.570339341167277,0.9747626027659168
recall,0.9927281072751714,0.8376781369482099,0.781520254893036,0.8459804658151766,0.8843033509700177,0.7921946274708566,0.8574396260711503,0.0,0.0,0.0,0.0,0.5447131426766926,0.9747626027659168
f1_score,0.9894161049044051,0.887170992085404,0.8545477168097549,0.8180167090446786,0.8636637671173887,0.8360524204332709,0.8691760989734141,0.0,0.0,0.0,0.0,0.5572317705591593,0.9747626027659168
