,LOC,ORG,PER,macro,micro
acc,0.6398424310635903,0.7053349875930521,0.7473707274320771,,
f1_score,0.6349809885931559,0.4204961366409109,0.6798111635656763,0.5784461157685364,0.6026501766784451
prec,0.7007973143096936,0.4583333333333333,0.7518427518427518,0.6369911331619262,0.6637478108581436
recall,0.5804657629475147,0.3884297520661157,0.6203750633552965,0.529756859456309,0.551852451059699
