,CONT,EDU,LOC,NAME,ORG,PRO,RACE,TITLE,macro,micro
acc,1.0089575635427164,1.0293580077678774,0.9983381342787503,1.0123581620042692,1.7968095712861416,1.001667407736772,1.0012222222222222,1.2819746763408735,,
f1_score,1.5797101449275361,1.491395793499044,0.6153846153846154,1.270935960591133,1.6644496175590289,1.0847457627118644,1.2682926829268293,1.466572504708098,1.345305781643513,1.5554980148455033
prec,3.7586206896551726,3.25,2.0,2.58,8.584905660377359,2.2325581395348837,2.0,3.983375959079284,3.5486825560808377,5.376491646778043
recall,1.0,0.967741935483871,0.36363636363636365,0.8431372549019608,0.9215614067390904,0.7164179104477612,0.9285714285714286,0.898730525100981,0.829974603110182,0.9092835519677094
