,PER,<pad>,ORG,LOC,<start>,<unk>,<end>,macro,micro
acc,0.8641997167138811,1.0,0.8887472687545521,0.8614542887398517,1.0,1.0,1.0,,
prec,0.8414496036240091,0.0,0.7531645569620253,0.9092331768388107,0.0,0.0,0.0,0.35769247677497784,0.8497562674094707
recall,0.7531677648251394,0.0,0.8046581517655897,0.8077858880778589,0.0,0.0,0.0,0.33794454352408404,0.7896780456236856
f1_score,0.7948649371489703,0.0,0.7780602978568834,0.8555126081354685,0.0,0.0,0.0,0.3475382052949143,0.818616352201258
