,B-LOC,B-ORG,B-PER,I-LOC,I-ORG,I-PER,O,macro,micro
acc,0.9905678414377669,0.9918946008424053,0.9949189170398781,0.9811704451306771,0.9703304152351376,0.9906026036929102,0.9524394412546857,,
f1_score,0.6904942965779468,0.4310695404636031,0.7564565398500417,0.5914005531807895,0.5849744711889131,0.7905475206611571,0.973159606990469,0.6911148339549328,0.9359621323167304
prec,0.7620646244229963,0.4698581560283688,0.8366093366093366,0.6606741573033708,0.5411605937921727,0.7862830721808374,0.970509977827051,0.7181657025948762,0.9359621323167305
recall,0.6312130691692736,0.3981968444778362,0.690319310694374,0.535275375512062,0.6365079365079365,0.7948584783173201,0.9758237434838202,0.6660278225946603,0.9359621323167305
